timestamp,bite_time,rod_x1,rod_x2,rod_y1,rod_y2,fish_x1,fish_x2,fish_y1,fish_y2,fish_label,success
1721658452,0,518.1418,550.5965,269.21118,277.5058,526.3961,575.5471,317.6221,355.45627,8,2
1721658464,4.82,520.4165,550.4138,301.1382,308.21188,625.2458,671.0732,305.0855,337.6053,9,0
1721658490,0,519.3124,550.8329,292.81976,300.2835,564.5098,605.17194,341.95654,379.3871,8,2
1721658505,6.97,518.8314,550.9315,286.45538,293.8067,569.7207,619.5769,314.44684,340.18506,8,0
1721659225,4.774,519.0265,550.75476,287.48682,294.84216,442.33673,484.737,297.1289,333.69812,9,0
1721659365,4.245,520.0979,550.66174,277.82935,284.4812,521.7124,545.8467,285.63037,329.91943,4,0
1721659380,4.526,519.4985,550.8055,272.42334,279.1023,513.0768,534.1649,297.4828,338.09204,4,0
1721659406,0,519.81006,549.9551,277.96796,284.6928,544.9253,569.3303,273.50024,304.01636,9,1
1721659428,0,518.9885,550.61206,275.73584,282.3308,341.77405,359.5028,286.25714,308.36273,3,2
1721659450,0,522.8244,552.5252,291.2461,297.27002,505.65063,532.00916,296.42072,320.9784,0,1
1721659474,0,519.75354,550.86926,274.7527,281.4729,521.3269,535.6929,281.69067,305.15808,3,1
1721659493,0,521.8084,552.6407,275.49597,281.93262,444.65378,466.0815,257.42004,284.4602,9,2
1721659515,0,505.98108,548.4612,155.38438,169.52666,552.5095,598.8003,218.77002,255.3479,0,2
1721659537,0,519.70245,550.84174,275.3686,281.99213,512.9982,549.76154,332.54953,366.8431,0,2
1721659549,4.436,519.71594,550.6918,278.5578,284.98114,432.36346,454.5102,270.16302,300.94708,9,0
1721659567,4.091,520.0962,550.4707,278.8343,285.5689,492.4099,502.27588,271.33936,289.4964,3,0
1721659597,0,519.99066,550.8255,283.30997,289.60434,539.0382,546.6532,263.2632,282.59195,0,2
1721659611,6.228,520.5331,550.5436,283.31995,289.5631,522.6169,530.3919,263.16333,280.5963,0,0
1721659660,4.9,520.4309,549.09595,279.29236,286.29663,547.4305,575.2962,299.8771,338.16098,9,0
1721659742,3.673,519.7333,550.8368,274.24942,280.8289,464.52765,504.01825,283.0666,317.54663,9,0
1721661326,0,520.13965,551.24194,285.7196,292.23303,493.67084,530.3383,259.0348,283.45667,9,2
1721661345,0,519.87256,550.9719,277.25354,284.05103,724.385,756.45874,284.4439,320.49915,9,2
1721661359,7.201,519.70276,550.5885,274.82745,281.46613,498.3858,642.1484,299.94983,336.53607,2,0
1721661383,0,520.02905,550.66394,280.09503,286.70636,444.89044,473.75836,300.35156,340.25757,9,2
1721661406,0,514.2688,548.1454,232.49438,240.6101,502.93854,550.18085,252.39352,290.80685,9,1
1721661418,4.246,520.36066,549.7966,283.53204,289.71637,549.5808,591.05884,271.3912,300.65067,9,0
1721661821,0,517.69226,550.7865,257.2287,265.28412,553.86255,593.7368,335.7236,373.11697,0,2
1721661845,0,520.0497,552.73645,269.9481,277.9495,486.0636,505.33862,286.97144,310.80664,3,1
1721661857,4.374,517.49524,550.8463,289.53632,296.37604,484.0492,528.6561,277.49335,306.79956,9,0
1721661874,5.189,518.8672,550.64734,275.94168,283.28073,487.65225,547.755,308.90735,348.96344,9,0
1721661892,4.154,518.99854,550.7466,279.16742,286.2663,442.43427,462.4875,286.47772,309.33307,0,0
1721661907,4.657,519.97534,552.7676,256.357,264.48517,524.1636,540.1853,291.1523,319.44937,0,0
1721662001,0,519.7854,550.53784,288.88544,295.92377,462.0315,510.9662,304.23114,339.3443,9,1
1721662020,0,518.2048,550.6016,289.32614,296.49863,493.77875,533.2994,286.61914,319.26697,9,1
1721662037,9.648,520.36597,550.41626,291.6909,298.65726,430.04437,439.85242,300.00488,319.7575,3,0
1721662064,0,518.6853,550.4795,276.43356,284.15903,640.8722,698.64294,294.79248,331.83484,9,2
1721662076,4.36,518.848,550.69055,277.1768,284.71603,511.36362,569.93713,302.58298,340.20645,9,0
1721662130,7.165,520.1538,550.55664,294.72992,301.48883,509.26807,606.12305,319.34268,376.05106,2,0
1721711207,0,518.8402,552.61804,242.31439,251.44739,462.99048,484.24817,296.91156,324.93536,3,2
1721711270,0,513.64746,553.9536,182.80174,195.87251,481.0327,526.5499,266.8241,304.91547,0,2
1721711304,4.225,520.14136,550.45996,285.41415,292.32883,509.73926,538.4192,302.35846,329.02026,0,0
1721711349,0,520.3467,553.5206,250.13147,258.3698,450.1905,521.20844,309.16644,354.2088,9,2
1721711368,0,519.81116,550.8429,283.0749,290.29108,557.5249,593.025,311.47168,351.9635,9,2
1721711383,4.322,518.949,550.8408,272.97192,280.26288,481.9461,529.4119,306.71863,345.9431,9,0
1721711412,0,519.802,550.92334,283.2679,290.39688,491.68042,510.1067,316.54898,344.85617,0,2
1721711431,0,517.7845,554.0943,215.86804,226.21613,508.20007,578.2357,298.49475,350.4386,9,2
1721711517,0,519.1492,550.85156,282.03967,288.96704,453.48123,483.93857,337.08002,368.95825,0,2
1721711566,0,519.4492,553.7285,241.28152,250.20364,479.8982,509.07544,295.03033,326.9964,0,2
1721711611,0,516.34656,551.09485,233.86008,243.20212,375.20508,412.5099,298.0378,341.2056,9,2
1721711642,4.419,519.0469,550.5288,280.09543,287.17154,428.03253,456.2544,285.36206,319.20746,9,0
1721711666,9.691,518.092,552.4316,238.3529,247.45654,638.64624,655.2311,261.2177,287.54193,3,0
1721711694,0,517.88885,550.67145,257.9704,266.02545,578.2815,588.8778,292.22412,321.08728,0,2
1721711746,0,520.10504,552.15326,269.39044,276.7552,696.8993,715.8507,285.1855,308.92267,3,2
1721711765,9.039,520.1285,550.6203,271.88113,279.12198,514.9098,536.5177,320.5774,350.4926,0,2
1721711805,8.428,522.1046,552.0587,302.5387,309.05432,664.547,684.9889,322.44586,344.68384,3,0
1721711864,0,518.47974,550.70654,271.19263,278.69006,350.5418,378.13562,327.1049,360.55722,0,2
1721711888,0,519.9563,553.2283,255.289,263.63123,572.6184,583.6555,289.88684,320.05115,0,2
1721711910,0,518.9926,550.934,277.47986,284.62683,525.18097,542.00507,332.45795,363.9344,0,2
1721711935,0,519.90564,551.1371,283.53564,290.5443,403.65686,513.928,305.31287,333.8957,2,2
1721711956,0,518.2717,554.0647,230.1459,239.66574,492.6629,502.21838,236.55093,263.5351,0,1
1721711977,0,517.5809,553.82806,222.56543,232.32578,484.87726,516.23517,230.58615,259.34116,0,1
1721712001,0,508.32776,555.39,144.9982,164.07773,515.6083,564.42395,267.37152,311.81268,0,2
1721712013,3.139,496.42957,553.83093,127.41887,156.93257,567.8324,618.0044,160.54367,202.45267,0,0
1721712044,0,509.41718,549.9682,178.33922,192.03679,440.87427,536.96674,224.83096,282.49387,2,1
1721712178,0,515.37634,550.1295,227.35687,235.87915,585.2894,602.4728,255.8872,310.9986,4,2
1721712200,0,520.10657,550.7499,280.9568,287.50598,344.5217,364.83505,284.9779,309.1029,0,2
1721712223,0,518.921,550.9542,265.91574,272.83182,600.0154,611.7947,247.16275,265.31992,3,2
1721712271,0,523.43225,553.20667,269.64264,275.65198,661.4121,680.4553,282.3128,304.82404,3,2
1721712385,6.459,519.2025,550.8878,267.58734,274.31946,478.86438,504.27374,300.24182,342.44788,4,0
1721712414,0,519.0867,552.84546,235.86615,244.09497,525.28937,556.5158,273.4165,307.58142,0,2
1721712438,0,519.6975,551.2329,277.2195,283.80716,388.03625,405.80725,292.16312,312.72958,3,2
1721712483,4.003,520.18787,550.63367,282.91086,289.0745,567.9416,594.1995,279.84302,302.49365,0,0
1721712567,0,521.30664,550.8738,282.1569,288.28513,494.0886,505.66605,289.75708,308.6068,3,1
1721712628,0,520.29913,550.96344,282.92517,289.6631,546.4455,567.9954,284.21637,311.53583,0,1
1721712702,3.913,519.32886,550.7743,282.46213,288.91068,566.1798,590.23694,277.31567,298.20288,0,0
